SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",,,,,,,,,,,
WIN03300318,IN029,India,WALKMAN SYNTHETICS,RIGHT MOVE,Woven,,,Corduroy,cotton,100,,,,,100,125,gsm,"58",inches,141.00,2.17,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60sx60/196x104,,,,,,,,,,,
WIN03300319,IN029,India,WALKMAN SYNTHETICS,VELVET SATIN,woven,,,Jacquard ,cotton,100,,,,,100,115,gsm,"58",inches,141.00,2.17,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50sx50s/152x84,,,,,,,,,,,
WIN03300320,IN029,India,WALKMAN SYNTHETICS,VELVET SATIN,woven,,,Jacquard ,cotton,100,,,,,100,115,gsm,58,inches,141.00,2.17,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50sx50s/152x84,,,,,,,,,,,
WIN03300321,IN029,India,WALKMAN SYNTHETICS,VELVET SATIN,Woven,,,Jacquard ,cotton,100,,,,,100,115,gsm,"58",inches,140.00,2.15,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50sx50s/152x84,,,,,,,,,,,
WIN03300322,IN029,India,WALKMAN SYNTHETICS,VELVET SATIN,woven,,,Jacquard ,cotton,100,,,,,100,115,gsm,"58",inches,121.00,1.86,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50sx50s/152x84,,,,,,,,,,,
WIN03300323,IN029,India,WALKMAN SYNTHETICS,VELVET SATIN,Woven,,,Jacquard ,cotton,100,,,,,100,125,gsm,"58",inches,121.00,1.86,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50sx50s/152x96,,,,,,,,,,,
WIN03300324,IN029,India,WALKMAN SYNTHETICS,VELVET SATIN,Woven,,,Jacquard ,cotton,100,,,,,100,115,gsm,"58",inches,121.00,1.86,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50sx50s/152x84,,,,,,,,,,,
WIN03300386,IN033,India,SOHAM FASHIONS,402300,Woven,,,Oxford,cotton,100,,,,,100,160,gsm,58'',inches,155,2.38,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 2/30 / 112 x 52,,,,,,,,,,,
WIN03300387,IN033,India,SOHAM FASHIONS,441696-A - M,Woven,,,Oxford,cotton,100,,,,,100,135,gsm,"58",inches,155,2.38,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 116 x 96,,,,,,,,,,,
WIN03300388,IN033,India,SOHAM FASHIONS,500231-L,Woven,,,Oxford,cotton,100,,,,,100,150,gsm,"58",inches,155,2.38,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50 X 2/30 / 120 X 52,,,,,,,,,,,
WIN03300389,IN033,India,SOHAM FASHIONS,500421-CX,Woven,,,Slub Check,cotton,100,,,,,100,110,gsm,"58",inches,165,2.54,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50 X 50 / 124 X 96,,,,,,,,,,,
WIN03300390,IN033,India,SOHAM FASHIONS,400461-BX,Woven,,,Planin Check Corbon Peach,cotton,100,,,,,100,130,gsm,"58",inches,145,2.23,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 X 40 / 128 X 80,,,,,,,,,,,
WIN03300391,IN033,India,SOHAM FASHIONS,TM40140,Woven,,,Jacquard ,cotton,100,,,,,100,125,gsm,"58",inches,165,2.54,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 X 40 / 120 X 76,,,,,,,,,,,
WIN03300392,IN033,India,SOHAM FASHIONS,,Woven,,,,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,,,,,,,,,,,,
WIN03300393,IN023,India,DINESH EXPORTS,40 s x 40s /44 x 44,Woven,,,Poplin,cotton,100,,,,,100,55,gsm,48'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 s x 40s /44 x 44,,,,,,,,,,,
WIN03300394,IN023,India,DINESH EXPORTS,40s x 40s / 52 x 40,Woven,,,Poplin,cotton,100,,,,,100,60,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40s x 40s / 52 x 40,,,,,,,,,,,
WIN03300395,IN023,India,DINESH EXPORTS,40 x 40 / 56 x 44,Woven,,,Poplin,cotton,100,,,,,100,65,gsm,50'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 56 x 44,,,,,,,,,,,
WIN03300396,IN023,India,DINESH EXPORTS,40 x 40 / 64 x 54 ,Woven,,,Poplin,cotton,100,,,,,100,75,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 64 x 54 ,,,,,,,,,,,
WIN03300397,IN023,India,DINESH EXPORTS, Nepy Cotton fabric 40 x 40 / 78 x 64,Woven,,,Poplin,cotton,100,,,,,100,90,gsm,56'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No, Nepy Cotton fabric 40 x 40 / 78 x 64,,,,,,,,,,,
WIN03300398,IN023,India,DINESH EXPORTS,40 x 40 /80 x 72,Woven,,,Poplin,cotton,100,,,,,100,95,gsm,54'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 /80 x 72,,,,,,,,,,,
